Code,CamId,Name,Location,Type,Publish,Management Unit,CamStatus,PTZ,Angle,DisplayName,VideoUrl,VideoStreaming,StartTime,EndTime
TTH 406,662b86c41afb9c00172dd31c,TTH 406,"[10.7918902432446, 106.691054105759]",tth,True,,UP,True,,Trần Quang Khải - Trần Khắc Chân,,0,4/29/24 14:03,11/18/25 17:15
TTH 21.84,5a6065c58576340017d06615,TTH 21.84,"[10.8797100979598, 106.677986383438]",tth,True,,UP,False,210,Tô Ngọc Vân – TX25,,0,1/19/18 7:00,11/9/25 17:20
TTH 300,6623f4df6f998a001b2528eb,TTH 300,"[10.8361932799182, 106.713809967041]",tth,True,,UP,True,,Quốc Lộ 13 - cầu Ông Dầu,,0,4/29/24 14:04,11/18/25 16:44
TTH 374,662b7ce71afb9c00172dc676,TTH 374,"[10.7726452614037, 106.691064834595]",tth,True,,UP,True,,Cách Mạng Tháng Tám - Bùi Thị Xuân,,0,4/29/24 14:04,11/18/25 17:27
TTH 22.7,583f969161cfea0012cf68f7,TTH 22.7,"[10.7646823693643, 106.781423091888]",tth,True,Khu quản lý giao thông đô thị số 2,UP,False,300,Nguyễn Thị Định - Đường D,,0,5/20/17 11:14,11/9/25 15:50
IDICO-QL1 29,59ca317602eb490011a0a408,IDICO-QL1 29,"[10.7492355507977, 106.593974232674]",tth,True,,UP,False,330,QL1 - Tỉnh lộ 10 B (2),http://camera.thongtingiaothong.vn/s/59ca317602eb490011a0a408/index.m3u8,1,9/23/24 7:10,11/10/25 18:30
TTH 273,6623e8da6f998a001b2524a6,TTH 273,"[10.8032933150268, 106.684530973434]",tth,True,,UP,True,,Phan Đăng Lưu - Thích Quảng Đức,,0,4/29/24 14:03,11/18/25 17:19
TTH 18.2,56de42f611f398ec0c481299,TTH 18.2,"[10.7265671915496, 106.620351076126]",tth,True,Management Center of Sai Gon River Tunnel,UP,True,255,Võ Văn Kiệt - An Dương Vương 2,,0,5/20/17 11:14,11/8/25 23:20
TTH 419,66b1c426779f74001867415e,TTH 419,"[10.8010801833774, 106.715161800385]",tth,True,,UP,True,,Điện Biên Phủ - Nguyễn Gia Trí,,0,8/6/24 13:50,11/12/25 7:51
TTH 21.59,595dc29c3dcfc400106f2894,TTH 21.59,"[10.8610818827294, 106.686397790909]",tth,True,,UP,False,,Quốc lộ 1 - Rạch Láng Le 1,http://camera.thongtingiaothong.vn/s/595dc29c3dcfc400106f2894/index.m3u8,1,11/4/17 7:09,11/5/25 19:40
TTH 292,6623f1046f998a001b2527db,TTH 292,"[10.7821519725547, 106.636122465134]",tth,True,,UP,False,,Lũy Bán Bích - Thoại Ngọc Hầu,,0,4/29/24 14:03,11/18/25 17:25
TTH 1.8,5d9de4de766c880017188cbb,TTH 1.8,"[10.796827763223, 106.790762543678]",tth,True,,UP,False,270,Cao tốc LTDG - Võ Chí Công,,0,6/13/22 7:14,10/23/25 15:50
TTH 299.1,6623f44f6f998a001b2528aa,TTH 299.1,"[10.8349709243101, 106.765716075897]",tth,True,,UP,True,,Võ Nguyên Giáp - Đỗ Xuân Hợp (1),,0,4/29/24 14:02,11/18/25 17:16
TTH 308,662a881a1afb9c00172d2559,TTH 308,"[10.7380517925754, 106.61497592926]",tth,True,,UP,True,,Kinh Dương Vương - Tên Lửa,http://125.234.114.126:11984/api/stream.m3u8?src=Kinh%20D%C6%B0%C6%A1ng%20V%C6%B0%C6%A1ng%20-%20T%C3%AAn%20L%E1%BB%ADa&mp4,1,4/29/24 14:03,11/18/25 17:26
TTH 24.4,5a605f828576340017d06608,TTH 24.4,"[10.8243119827038, 106.686521172523]",tth_axis,True,,NOT_IMAGE,False,180,Nguyễn Thái Sơn - Nguyễn Văn Nghi 1,,0,1/19/18 7:00,1/6/23 16:47
TTH 423,6818833d6dfb4b0018f8ee9d,TTH 423,"[10.7736992353084, 106.509790420532]",tth,True,,UP,False,,Mai Bá Hương - Kênh 4,,0,5/5/25 17:21,11/20/25 0:21
